,,,,
0000,0538,1.00,, USB OPTICAL MOUSE
0000,3825,1.00,, USB OPTICAL MOUSE
0000,6800,1.00,, USB OPTICAL MOUSE
0001,0001,1.00,Bosi,USB-Key
0011,7788,1.03,Generic,Mass Storage
0101,0007,1.00,,USB OPTICAL MOUSE 
0145,0012,1.00,USB Adapter,USB Dongle
03eb,201d,0.19,INTELLETTO,INT USB KEYBOARD EMUL
03f0,0024,1.30,CHICONY,HP Basic USB Keyboard
03f0,002a,1.00,Hewlett-Packard,HP LaserJet Professional P1108
03f0,012a,1.00,Hewlett-Packard,HP LaserJet M1536dnf MFP
03f0,022a,1.00,Hewlett-Packard,HP LaserJet CP1525N
03f0,0324,1.00,LiteON,HP Basic USB Keyboard
03f0,0325,1.03,,
03f0,034a,1.21,Chicony,HP Elite USB Keyboard
03f0,042a,1.00,Hewlett-Packard,HP LaserJet Professional M1136 MFP
03f0,052a,1.00,Hewlett-Packard,HP LaserJet Professional M1213nf MFP
03f0,062a,1.00,Hewlett-Packard,HP LaserJet 100 colorMFP M175a
03f0,064a,1.11,Primax,HP USB Keyboard
03f0,0941,1.00,PixArt,HP X500 USB Optical Mouse
03f0,094a,1.00,PixArt,HP USB Optical Mouse
03f0,0a2a,1.00,Hewlett-Packard,HP LaserJet Professional P1606dn
03f0,0b4a,2.00,,
03f0,0c17,1.00,Hewlett-Packard,hp LaserJet 1010
03f0,0f2a,1.00,Hewlett-Packard,HP LaserJet 300 color M351a
03f0,0f71,1.00,Hewlett-Packard,HP LaserJet MFP M437-M443
03f0,134a,1.00,PixArt,HP USB Optical Mouse
03f0,152a,1.00,Hewlett-Packard,HP LaserJet 400 M401d
03f0,1f4a,1.00,PixArt,HP USB Optical Mouse
03f0,222a,1.00,Hewlett-Packard,HP LaserJet Pro MFP M126a
03f0,2a4a,2.64,Lite-On Technology Corp,HP USB Slim Keyboard - Skylab
03f0,2b17,1.00,Hewlett-Packard,HP LaserJet 1020
03f0,2c17,1.00,Hewlett-Packard,HP LaserJet 1022
03f0,2c2a,1.00,Hewlett-Packard,HP LaserJet Pro M202n
03f0,2d2a,1.00,Hewlett-Packard,HP LaserJet Pro MFP M226dw
03f0,2f4a,0.11,Chicony,HP Business Slim Keyboard
03f0,322a,1.00,Hewlett-Packard,HP LaserJet Pro MFP M128fw
03f0,334a,0.10,Chicony,HP Business Slim Keyboard
03f0,344a,1.22,,HP USB Slim Keyboard
03f0,3b17,1.00,Hewlett-Packard,HP LaserJet M1005
03f0,3b2a,1.00,Hewlett-Packard,HP Color LaserJet MFP M277dw
03f0,3c2a,1.00,Hewlett-Packard,HP Color LaserJet Pro M252n
03f0,3f17,1.00,Hewlett-Packard,HP LaserJet P1505
03f0,4117,1.00,Hewlett-Packard,HP LaserJet 1018
03f0,424a,1.10,,HP USB Premium Mouse
03f0,4717,1.00,Hewlett-Packard,HP Color LaserJet CP1215
03f0,4817,1.00,Hewlett-Packard,HP LaserJet P1007
03f0,4917,1.00,Hewlett-Packard,HP LaserJet P1008
03f0,5117,1.00,Hewlett-Packard,HP Color LaserJet CP5225dn
03f0,522a,1.00,Hewlett-Packard,HP Color LaserJet M452dw
03f0,532a,1.00,Hewlett-Packard,HP LaserJet MFP M427dw
03f0,542a,1.00,Hewlett-Packard,HP LaserJet M403d
03f0,5817,1.00,Hewlett-Packard,HP LaserJet M1319f MFP
03f0,5a07,1.00,HP,v220w
03f0,5a2a,1.00,Hewlett-Packard,HP LaserJet MFP M427fdw
03f0,5c17,0.01,Hewlett-Packard,HP LaserJet P2055d
03f0,5d17,1.00,Hewlett-Packard,HP LaserJet P2035
03f0,602a,1.00,Hewlett-Packard,HP LaserJet M403dn
03f0,632a,1.00,HP,HP LaserJet M203-M206
03f0,642a,1.00,HP,HP LaserJet MFP M227-M231
03f0,8917,1.00,Hewlett-Packard,HP LaserJet 5200LX
03f0,aa2a,1.00,Hewlett-Packard,HP LaserJet MFP M436
03f0,ac2a,1.00,HP,HP ColorLaserJet M253-M254
03f0,ae2a,1.00,HP,HP ColorLaserJet M153-M154
03f0,be2a,1.00,HP,HP LaserJet M14-M17
03f0,c12a,4.09,HP,HP LaserJet Pro M404-M405
03f0,c32a,4.09,HP,HP LaserJet Pro M428f-M429f
03f0,de2a,4.09,HP,HP LaserJet Pro M304-M305
03f0,e82a,1.00,HP Inc.,HP Laser 108a
03f0,f02a,1.00,HP,HP Laser NS 1020
03f0,f12a,1.00,HP,HP Laser NS MFP 1005
03f0,f22a,1.00,HP Inc.,HP Laser MFP 136a
0400,c35a,0.63,,
0401,0210,1.00,DASCOM Co.,Ltd,DASCOM DS-600 Printer
0403,6001,6.00,FTDI,FT232R USB UART
040b,0002,2.00,,GiGa HiD
0425,8159,2.00,Routon,USB HID for Routon iDR210
043d,0122,0.00,Lenovo,Lenovo LJ3900D
043d,022e,2.31,Pantum,CP2500DN
0451,82ff,1.00,,
045e,0745,6.56,Microsoft,Microsoft® 2.4GHz Transceiver v8.0
045e,0780,1.70,Microsoft,Comfort Curve Keyboard 3000
045e,078c,1.11,LITEON Technology,USB Keyboard
0461,0010,1.04,NOVATEK,USB Keyboard
0461,4d0f,1.00,PixArt,USB Optical Mouse
0461,4d15,2.00,,USB Optical Mouse
0461,4d22,2.00,,USB Optical Mouse
0461,4d64,2.00,,USB Optical Mouse
0461,4d81,2.00,,USB Optical Mouse
0461,4de2,2.00,,USB Optical Mouse
0461,4e04,1.04,NOVATEK,USB NETVISTA FULL WIDTH KEYBOARD
0461,4e12,1.20,,USB Keyboard
0461,4e22,1.00,PixArt,USB Optical Mouse
0461,4e2a,1.00,PixArt,USB Optical Mouse
0461,4e35,1.00,,
0461,4e54,1.00,PixArt,Tiger USB Optical Mouse
0461,4e6e,1.08,,Wired USB Keyboard
0461,4e6f,1.07,,USB Wired Keyboard
046d,080c,0.10,,
046d,081b,0.10,,
046d,0826,0.10,,HD Webcam C525
046d,0892,0.19,,HD Pro Webcam C920
046d,c018,3.01,Logitech,USB Optical Mouse
046d,c045,7.30,Logitech,USB-PS/2 Optical Mouse
046d,c05a,3.00,Logitech,USB Optical Mouse
046d,c05b,4.00,Logitech,USB Optical Mouse
046d,c06a,3.00,Logitech,USB Optical Mouse
046d,c077,2.00,Logitech,USB Optical Mouse
046d,c246,0.03,Logitech,G300s Optical Gaming Mouse
046d,c30f,3.00,Logitech,Logitech USB Keyboard
046d,c31c,9.00,Logitech,USB Keyboard
046d,c31d,6.01,Logitech,USB Keyboard
046d,c326,9.00,,
046d,c52b,4.11,Logitech,USB Receiver
046d,c52f,0.00,Logitech,USB Receiver
046d,c534,9.00,Logitech,USB Receiver
046d,c538,6.00,Logitech,USB Receiver
046d,c542,3.02,Logitech,Wireless Receiver
046e,55a1,1.20,BTC,HP USB Multimedia Keyboard
0471,0017,2.02,ZHU HAI SUNCSW Receipt Printer Co.,Ltd,GP  PRINTER 
0471,0055,1.00,Zhuhai Howbest Label Printer Co.,Ltd.,Gprinter USB Printer
0471,a112,0.01,,
0471,a120,0.01,,
0471,b001,0.01,,
0480,0820,3.15,TOSHIBA,External USB 3.0
0482,03af,1.00,Kyocera,TASKalfa 180
0482,0446,0.00,Kyocera ,Kyocera FS-1110 
0482,0494,2.27,Kyocera,FS-1060DN
0482,0495,3.27,Kyocera,FS-1020MFP
0482,0632,0.00,Kyocera,Kyocera ECOSYS P2135dn
0482,0696,0.00,Kyocera,Kyocera ECOSYS P2235dn
0482,0c1a,0.00,Kyocera,Kyocera ECOSYS M4125idn
0483,0011,0.01,USB Adapter,USB Device
0483,070b,2.54,Printer-58,USB Printing Support
0483,3001,2.00,SP,USB Composite
0483,5720,3.10,Linux 3.10.14 with dwc2-gadget,HID Gadget
0483,5741,3.10,BarcodeScanners Drives - H2750,H2750  Usb Devices
0483,5743,1.00,Xprinter ,USB Printer P
0483,5750,2.00,SCANNER,SCANNER
048d,04d2,1.00,General ,UDisk           
048d,1234,1.00,General ,UDisk           
04a9,10d3,1.11,Canon,iP2700 series
04a9,10e2,1.03,Canon,iX6700 series
04a9,183c,1.03,Canon,G1010 series
04a9,186e,1.00,Canon,TS708 series
04a9,1906,6.03,Canon,CanoScan
04a9,1909,7.01,Canon,CanoScan
04a9,266a,1.00,Canon,Canon CAPT USB Device
04a9,2676,1.00,Canon,Canon CAPT USB Device
04a9,26da,1.00,Canon,Canon CAPT USB Device
04a9,26db,1.00,Canon,Canon CAPT USB Device
04a9,2737,1.00,Canon Inc,MF4410
04a9,2774,1.00,Canon Inc,MF4700 Series
04a9,2776,1.00,Canon Inc,L190/L410 Series
04a9,278b,1.00,Canon Inc,iR2002/2202
04a9,2795,0.00,Canon,Inc.,LBP6030/6030B/6018L
04a9,27d1,1.00,Canon,MF230 Series UFRII LT
04a9,27d2,1.00,Canon,MF240 Series UFRII LT
04b3,3025,1.02,CHICONY,USB NetVista Full Width Keyboard
04b3,3107,1.30,,
04b3,310c,2.00,,USB Optical Mouse
04b3,310d,3.01,,
04b5,0316,3.00,CPU.DOG,USB HID Security Key
04b8,0005,1.00,EPSON,USB Printer
04b8,002f,1.00,EPSON,LQ-790K
04b8,0038,1.00,EPSON,EPSON L300 Series
04b8,003b,1.00,EPSON,LQ-590K
04b8,003e,1.00,EPSON,LQ-630K
04b8,0047,1.00,EPSON,LQ-300KH
04b8,0066,1.00,EPSON,EPSON L1300 Series
04b8,006a,1.00,EPSON,LQ-630KII
04b8,007b,1.00,EPSON,EPSON L310 Series
04b8,007c,1.00,EPSON,EPSON L130 Series
04b8,0081,1.00,EPSON,EPSON L805 Series
04b8,009b,1.00,EPSON,LQ-590KII
04b8,00a8,1.00,EPSON,L1110 Series
04b8,013d,1.00,EPSON,Epson Perfection V39
04b8,0142,1.00,EPSON,EPSON Perfection V33/V330
04b8,0155,1.00,EPSON,DS-530
04b8,0157,1.00,EPSON,DS-570W
04b8,015d,1.00,EPSON,DS-1610
04b8,08a9,1.00,EPSON,EPSON L550 Series
04b8,08d1,1.00,EPSON,EPSON L360 Series
04b8,08d3,1.00,EPSON,EPSON L565 Series
04b8,112a,1.00,EPSON,L4160 Series
04b8,114d,1.00,EPSON,L5190 Series
04c5,106f,0.00,,
04c5,14e0,1.00,,
04ca,004b,1.09,Lite-On Technology Corp.,USB Keyboard
04ca,0061,1.00,PixArt,USB Optical Mouse
04ca,0062,2.00,,USB Optical Mouse
04ca,009c,2.65,Lite-On Technology Corp,USB Keyboard
04ca,00ac,0.01,Liteon,Dell Wireless Device
04d9,0499,2.90,,
04d9,1400,1.43,,
04d9,1503,4.03, ,USB Keyboard
04d9,1603,3.10, ,USB Keyboard
04d9,1605,1.01, ,USB Keyboard
04d9,1702,4.06, ,USB Keyboard
04d9,1836,0.01,LogoTech,Mechanical Keyboard
04d9,2832,1.00,Fi3001A,USB Audio Device
04d9,a002,1.00,E-Signal,USB Gaming Keyboard
04d9,a088,1.13,,
04d9,a08c,1.10,Holtek,USB Gaming Mouse
04da,0e3e,1.00,Panasonic ,Panasonic Document Scanner KV-S5046H 
04da,0e82,1.00,Panasonic ,Panasonic Document Scanner KV-SL1035 
04da,2372,1.00,Panasonic,DC-LX100M2
04dd,9484,1.00,SHARP,AR-2008D
04dd,9955,1.00,SHARP,SHARP MX-B5621R
04e8,3292,1.00,Samsung Electronics Co., Ltd.,ML-1640 Series
04e8,330c,1.00,Samsung Electronics Co., Ltd.,ML-1860 Series
04e8,3311,1.00,Samsung,ML-371x Series
04e8,3321,1.00,Samsung Electronics Co., Ltd.,M2020 Series
04e8,3434,1.00,Samsung,SCX-4623 Series
04e8,3441,1.00,Samsung Electronics Co., Ltd.,SCX-3200 Series
04e8,345b,1.00,Samsung Electronics Co., Ltd.,SCX-4650 4x21S Series
04e8,3461,1.00,Samsung Electronics Co., Ltd.,M267x 287x Series
04e8,3467,1.00,Samsung Electronics Co., Ltd.,K2200 Series
04e8,6033,0.00,JMicron,Samsung G2 Portable
04e8,61b3,e.00,JMicron,Samsung M3 Portable
04f2,0841,1.00,CHICONY,HP USB Multimedia Keyboard
04f2,1516,1.11,Chicony ,USB Keyboard
04f3,0103,1.07,,
04f3,0234,4.58,,OM
04f9,0054,1.00,Brother,HL-1110 series
04f9,006c,1.00,Brother,HL-2260
04f9,007e,1.00,Brother,HL-5590DN
04f9,0182,1.00,,
04f9,024d,1.00,,
04f9,0271,1.00,,
04f9,0273,1.00,,
04f9,02d0,1.00,,
04f9,02d1,1.00,,
04f9,0368,1.00,Brother,DCP-7080
04f9,0369,1.00,Brother,DCP-7180DN
04f9,036c,1.00,Brother,MFC-7480D
04f9,0378,1.00,Brother,DCP-1608
04f9,03e3,1.00,Brother,MFC-J3930DW
04f9,041b,1.00,Brother,DCP-B7500D series
04f9,041d,1.00,Brother,DCP-B7530DN series
04f9,0424,1.00,Brother,DCP-L2550DW series
04f9,5607,1.00,,
04f9,5609,1.00,,
0518,0001,1.00,Plus More Enterprise LTD.,USB-compliant keyboard
0525,a4ac,3.10,SUNLUX IOT,USB HID Keyboard
0536,04c1,0.f3,Hand Held Products,4600R
0536,04c2,0.f3,Hand Held Products,4600R
0550,012a,1.00,FUJI XEROX,DocuPrint P355 d
0550,0135,0.01,FUJI XEROX,DocuCentre S1810
0550,014a,1.00,FUJI XEROX,FUJI XEROX DocuPrint 2108
0550,016a,0.01,FUJI XEROX,ApeosPort-V C3375 T2
0550,016f,1.00,FUJI XEROX,DocuCentre SC2020
0550,018e,1.00,FX,DocuPrint P268 d
0550,01a3,0.00,FUJI XEROX,DocuCentre-V C2265
0550,01be,0.01,FUJI XEROX,DocuCentre S2110
0557,2213,1.00,ATEN Advance Tech Inc.,CS64US V1.1.109
055c,db08,1.00,Longmai Technologies,Longmai mToken
055c,e618,1.00,Longmai Technologies,Longmai-GM3000
0578,0578,5.07,SSD  USB 3.1,SSD  USB 3.1
0581,0106,2.1a,,
058f,2010,1.22,TESTQUEST,USB Multimedia Keyboard
058f,6387,1.00,Generic,Mass Storage
05ac,024f,1.23,SONiX,USB DEVICE
05ac,0256,1.07,SONiX,USB DEVICE
05ac,0304,1.10,Mitsumi Electric,Apple Optical USB Mouse
05ac,0601,1.05,FET-M-0105,Button Controller
05ac,12a8,2.01,Apple Inc.,iPhone
05ca,0403,1.00,RICOH,MP C2504ex
05ca,0452,0.01,RICOH,RICOH MP 2014
05ca,0458,1.00,RICOH,RICOH SP 221
05ca,0459,1.00,RICOH,RICOH SP 325SFNw
05ca,0463,1.00,RICOH,RICOH SP 330SFN
05da,3008,1.00,Prolific Technology Inc.,USB Scanner               
05da,6031,6.01,Microtek,G160
05e0,1200,2.01,ﾩSymbol Technologies, Inc, 2002,Symbol Bar Code Scanner
05e3,0510,9.09,GenesysLogic Technology Co., Ltd.,USB2.0 UVC PC Camera
05e3,0751,4.04,USB Storage,USB Storage
05e3,0752,2.33,Generic,USB Storage
05fe,1010,0.01,WIT Electron Company,WIT 133-M - V1.02
060b,2401,1.00,,USB Keyboard 
060e,0960,0.00,Newtologic ,NT4010S
062a,38b3,2.07,MosArt,USB 2.4G Keyboard
062a,4101,1.11,MOSART Semi.,2.4G Keyboard Mouse
062a,4102,1.00,MOSART Semi.,2.4G Wireless Mouse
062a,4182,1.03,MOSART Semi.,2.4G Keyboard Mouse
062a,4c01,1.03,MOSART Semi.,2.4G Keyboard Mouse
062a,8508,0.07,MosArt,USB Keyboard
067b,2303,3.00,Prolific Technology Inc.,USB-Serial Controller
067b,2305,2.02,Prolific Technology Inc.,IEEE-1284 Controller
06bc,017d,1.00,OKI DATA CORP,ML5150FS
072f,9000,1.00,ACS      ,ACR38 USB Reader         
072f,90d5,0.01,,
0781,5567,1.27,SanDisk,Cruzer Blade
0781,557d,1.00,SanDisk,Cruzer Force
0781,5581,1.00,SanDisk,Ultra
0781,5583,1.00,SanDisk,Ultra Fit
0781,5588,1.00,SanDisk,USB Extreme Pro
0781,5591,1.00,SanDisk,Ultra USB 3.0
0781,5597,1.00,SanDisk,Cruzer Glide 3.0
08a6,0034,1.00,,
08a6,8029,1.00,Manufacturer,e-STUDIO223
08a6,c047,1.00,TOSHIBA TEC,e-STUDIO301DN
08bd,020b,1.00,DASCOM Co.,Ltd,DASCOM DS-3200IV Printer
08e2,0008,4.54,SafeNet Inc.,SuperDog
08e4,016e,0.00,Pioneer Corporation,Pioneer external optical drive
08f2,6834,0.08,Ping-IT,DriverFree Pad
08ff,06fe,0.01,WIT Electron Company,      V2.00      
090c,1000,1.00,USB,Flash DISK
090c,3268,1.00,SMI Corporation,USB DISK
0930,140b,1.10,TOSHIBA,TransMemory
0930,6544,1.00,Kingston,DataTraveler 2.0
0930,6545,1.00,TOSHIBA,USB FLASH DRIVE
093a,2500,1.00,PIXART,USB OPTICAL MOUSE
093a,2510,1.00,PixArt,USB Optical Mouse
093a,2521,1.00,,USB OPTICAL MOUSE
093a,2530,1.00,PixArt,Gaming Mouse
093a,2533,1.00,,Gaming Mouse
0951,1603,2.00,Kingston,DataTraveler 2.00000045186
0951,1624,1.00,Kingston,DataTraveler G2 
0951,1642,1.00,Kingston,DT 101 G2
0951,1663,1.00,Kingston,DT CNY 12 Dragon
0951,1665,2.00,Kingston,DataTraveler 2.0
0951,1666,0.01,Kingston,DataTraveler 3.0
096e,0002,1.5a,,ePass1000
096e,0006,1.09,OEM,HID Dongle
096e,0303,1.02,FT,USB TOKEN 3000GM
096e,0309,1.07,FT,USB TOKEN 3000GM
096e,0401,2.02,FS,USB TOKEN 3000
096e,0702,0.04,FS,HID TOKEN 3003
096e,0713,3.04,FS,FT Interpass3000
096e,0716,1.03,FS,FT Interpass3000
